,siteID,setDate,collectDate,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,labConditionRemarks,sampleMass,NEONsite
1,BART,2019-10-15T14:14Z,2019-10-29T18:20Z,0.014,,0.006,0.009,,0.002,0.006,,0.002,0.075,,0.002,0.027,,0.018,0.172,,0.005,0.113,,0.005,0.003,Below detection limit,0.006,0.123,,0.003,0.001,Below detection limit,0.004,5.33,0.1,3.1,0.4,,,1257.32,BART
0,BART,2019-10-29T08:24Z,2019-11-14T16:22Z,0.067,,0.006,0.023,,0.002,0.019,,0.002,0.155,,0.002,0.177,,0.018,0.671,,0.005,0.367,,0.005,0.007,,0.006,0.268,,0.003,0.002,Below detection limit,0.004,5.12,0.1,6.4,0.4,Possible sample weight error on manifest.,small sample,4.06,BART
1,BART,2019-11-14T16:42Z,2019-11-25T15:35Z,0.016,,0.006,0.003,,0.002,0.005,,0.002,0.026,,0.002,0.002,Below detection limit,0.018,0.21,,0.005,0.079,,0.005,0.006,Below detection limit,0.006,0.025,,0.003,0.002,Below detection limit,0.004,4.91,0.1,5.4,0.4,,,501.11,BART
0,BART,2019-11-25T15:40Z,2019-12-05T15:41Z,0.037,,0.006,0.007,,0.002,0.008,,0.002,0.058,,0.002,0.141,,0.018,0.842,,0.005,0.286,,0.005,0.013,,0.006,0.103,,0.003,0,Below detection limit,0.004,4.74,0.1,9.2,0.4,,,205.37,BART
1,BART,2019-12-05T15:37Z,2019-12-16T15:35Z,0.007,,0.006,0.004,,0.002,0.003,,0.002,0.034,,0.002,0.012,Below detection limit,0.018,0.182,,0.005,0.05,,0.005,0.002,Below detection limit,0.006,0.051,,0.003,0,Below detection limit,0.004,5.25,0.1,2.9,0.4,,,1316.74,BART
0,BART,2019-12-16T15:35Z,2020-01-06T15:25Z,0.015,Debris observed in sample,0.006,0.005,Debris observed in sample,0.002,0.011,Debris observed in sample,0.002,0.046,Debris observed in sample,0.002,0.06,Debris observed in sample,0.018,0.346,Debris observed in sample,0.005,0.14,Debris observed in sample,0.005,0.001,Below detection limit|Debris in sample,0.006,0.055,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.27,0.1,3.7,0.4,,Black specs present,436.97,BART
1,BART,2020-01-06T15:23Z,2020-01-22T16:00Z,0.054,,0.006,0.012,,0.002,0.009,,0.002,0.106,,0.002,0.115,,0.018,0.745,,0.005,0.244,,0.005,-0.001,Below detection limit,0.006,0.17,,0.003,0.001,Below detection limit,0.004,5.06,0.1,6.1,0.4,,,540.53,BART
2,BART,2020-01-22T16:00Z,2020-01-31T15:27Z,0.011,,0.006,0.018,,0.002,0.013,,0.002,0.115,,0.002,0.004,Below detection limit,0.018,0.03,,0.005,0.084,,0.005,0.008,,0.006,0.199,,0.003,0.001,Below detection limit,0.004,5.32,0.1,2.9,0.4,,,186.63,BART
0,BART,2020-01-31T15:30Z,2020-02-20T15:37Z,0.037,,0.006,0.013,,0.002,0.021,,0.002,0.138,,0.002,0.108,,0.018,0.794,,0.005,0.228,,0.005,0.007,,0.006,0.216,,0.003,0,Below detection limit,0.004,4.93,0.1,6.6,0.4,,,306.41,BART
0,BART,2020-02-20T15:37Z,2020-03-02T16:00Z,0.041,Debris observed in sample,0.006,0.007,Debris observed in sample,0.002,0.005,Debris observed in sample,0.002,0.044,Debris observed in sample,0.002,0.052,Debris observed in sample,0.018,0.267,Debris observed in sample,0.005,0.087,Debris observed in sample,0.005,0.001,Below detection limit|Debris in sample,0.006,0.062,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.41,0.1,3.1,0.4,,Black specs present,334.1,BART
