site,date,timeEST,NO3,DOC
RG22,8/7/2017,7:30,0.3645,3.284
RG22,8/14/2017,6:20,1.4996,
RG22,8/22/2017,7:00,0.7608,2.7613
RG22,8/28/2017,7:10,0.714,4.6913
RG22,9/4/2017,12:30,0.2345,
RG22,9/11/2017,9:20,0.6932,4.4421
RG22,9/18/2017,7:00,,
RG22,9/25/2017,7:10,,
RG22,10/2/2017,7:00,,
RG22,10/10/2017,8:30,0.3377,1.5187
RG22,10/16/2017,7:05,0.6615,
RG22,10/23/2017,7:15,,
RG22,10/31/2017,10:05,0.2034,0.887
RG22,11/7/2017,11:30,1.3039,2.0036
RG22,11/13/2017,8:40,,
RG22,11/20/2017,7:45,0.8985,1.0463
RG22,11/27/2017,7:30,,
RG22,12/4/2017,11:30,2.753,1.3351
RG22,12/11/2017,7:30,0.5353,0.3985
RG22,12/18/2017,7:35,1.0271,0.3892
RG22,12/26/2017,9:15,0.8793,0.5728
RG22,1/2/2018,14:00,,
RG22,1/8/2018,13:40,0.531,0.6879
RG22,1/16/2018,8:20,0.2958,0.3148
RG22,1/22/2018,7:30,,
RG22,1/29/2018,7:50,0.463,0.6279
RG22,2/5/2018,8:00,1.0673,0.5706
RG22,2/12/2018,8:20,1.0553,0.4821
RG22,2/20/2018,7:40,1.4477,0.8084
RG22,2/26/2018,8:20,0.5467,0.6451
RG22,3/5/2018,8:10,,
RG22,3/12/2018,8:20,0.4905,0.7519
RG22,3/19/2018,7:15,0.3876,0.6361
RG22,3/26/2018,6:50,,
RG22,4/2/2018,5:45,2.1995,2.2684
RG22,4/9/2018,7:30,1.4806,2.0657
RG22,4/18/2018,7:20,1.6265,1.5185
RG22,4/23/2018,6:30,,
RG22,4/30/2018,6:55,0.5711,0.9351
RG22,5/7/2018,13:45,,
RG22,5/14/2018,6:45,,
RG22,5/21/2018,7:15,0.4399,2.3757
RG22,5/29/2018,6:45,1.6368,6.3155
RG22,6/5/2018,12:30,0.3455,4.5951
RG22,6/11/2018,7:30,,
RG22,6/18/2018,7:20,,
RG22,6/25/2018,14:05,0.2083,1.9344
RG22,7/2/2018,6:20,0.3508,1.9624
RG22,7/9/2018,13:35,0.7867,5.7787
RG22,7/16/2018,13:45,,
RG22,7/24/2018,9:50,0.4108,2.1497
RG22,7/30/2018,12:30,0.2312,2.1451
RG22,8/6/2018,8:15,0.4289,2.0848
RG22,8/13/2018,7:25,0.5541,6.0762
RG22,8/20/2018,14:10,0.4826,4.8267
RG22,8/27/2018,11:30,0.4641,2.2584
RG22,9/4/2018,7:10,0.0281,
RG22,9/10/2018,6:50,0.301,2.4312
RG22,9/17/2018,7:20,0.0281,4.0979
RG22,9/24/2018,6:50,,
RG22,10/1/2018,7:20,0.257,1.602
RG22,10/8/2018,11:00,0.4849,1.8528
RG22,10/15/2018,7:55,0.2805,0.6096
RG22,10/22/2018,6:15,1.0238,4.5493
RG22,10/29/2018,7:50,0.7076,0.7355
RG22,11/5/2018,8:30,0.38,0.5181
RG22,11/12/2018,7:35,0.0281,0.17
RG22,11/19/2018,8:20,0.5097,0.3721
RG22,11/26/2018,8:15,0.9642,0.785
RG22,12/4/2018,9:35,0.244,0.4491
RG22,12/10/2018,8:50,,
RG22,12/16/2018,10:00,,
RG22,12/31/2018,8:35,0.3212,0.17
RG22,1/14/2019,14:30,0.6743,0.17
RG22,1/22/2019,13:00,0.589,0.17
RG22,1/28/2019,9:15,0.4714,0.17
RG22,2/4/2019,14:00,1.1667,0.6852
RG22,2/11/2019,8:25,0.7563,0.5753
RG22,2/18/2019,8:40,0.9364,0.6088
RG22,2/26/2019,9:00,0.6843,0.4501
